4000 30000
1969 3645 556682
2061 2955 821842
27 2365 773994
791 2880 176045
53 1400 595204
672 3537 255246
1525 2363 335078
88 1556 915561
1042 2561 470298
765 2165 520149
546 1809 170117
221 1580 317071
599 3423 67436
1417 3830 124578
1814 3883 170330
1370 3419 951001
617 1295 137715
47 3203 170155
1763 3608 595548
2258 2527 450064
2407 3425 423873
524 1004 464445
426 1948 497044
1736 2194 513225
359 2314 677107
644 1729 828877
2345 3998 674172
2065 2391 41374
572 2350 399488
120 608 106014
2185 3014 801790
2410 3890 10794
1837 2855 587571
251 3572 789765
1477 2237 342475
2936 3233 808203
166 3582 474899
1998 2690 677641
64 2570 331991
2689 3904 940950
873 1918 991963
61 3282 204204
2489 2855 862040
2426 3091 581963
543 567 972200
3019 3855 235784
20 3574 807365
2474 2709 857362
115 3124 555931
458 3027 14972
1296 1408 168196
1356 1724 439478
210 1928 842318
2988 3969 357408
1932 3882 14327
2484 2900 490181
2268 2474 130200
1299 1985 124908
1413 3348 548383
1871 3631 767409
2955 3630 920704
1353 3152 326412
2982 3281 478973
1300 3601 965960
1884 3060 609842
720 1387 753093
2987 3920 203918
1324 2120 437216
1023 3380 646981
653 3763 165203
3524 3960 449184
229 3111 974537
2092 2993 978169
1966 3743 322121
3154 3927 588356
893 2121 749075
812 3566 556414
3284 3485 817737
1053 2663 906759
386 2778 895763
1941 2653 316074
3126 3233 303184
1663 2225 845627
184 191 785721
469 2305 480875
2589 3013 461767
89 2506 218578
855 1990 397861
2592 3395 640876
132 1703 496005
1818 2073 730657
1198 1893 781890
1429 3212 976114
3057 3395 308656
778 2051 229124
1063 2005 380064
1503 3772 514570
2357 2703 352911
916 1300 332305
1792 3354 648789
1172 2149 434861
1159 3416 656058
844 3049 319621
252 3515 371015
172 1030 681417
1648 3386 806479
1713 3158 527982
283 2212 918690
1194 3127 279990
1271 1852 551343
2641 3419 144866
577 1502 860281
1912 3977 33477
1533 3492 993728
15 900 43109
1662 2317 662495
1148 3374 830004
8 1482 764215
173 1202 379341
515 3053 832611
210 2045 136382
1077 3546 504958
1710 1809 752935
3187 3693 372778
592 1268 673144
377 3260 366805
407 2872 866531
876 2241 686890
1091 2413 148091
785 3279 131495
1748 3840 769539
1268 2130 13436
2978 3089 35596
376 2516 639288
1506 3783 228231
160 2650 967490
1807 3383 696249
611 690 942489
1701 3581 141253
24 2837 88883
585 3520 336722
1411 2714 545990
2154 2848 576967
2529 2796 495834
386 2085 779969
2668 3035 472480
1194 2159 235862
1883 2760 416472
1463 1601 778525
1487 2854 217713
1358 3737 50297
811 2768 445363
1967 2801 391516
120 763 674397
3199 3955 666782
1866 3924 558169
376 756 715362
618 3487 521244
1087 1443 179059
292 3968 836897
28 1681 626254
331 839 349373
1694 3991 19692
111 1562 156454
65 3959 948004
340 3094 106221
1095 1263 114949
625 2064 670435
1869 3506 231522
1280 3825 455813
1858 2177 432193
783 2540 497383
233 2509 197373
2146 2201 141835
2105 3007 793899
1198 3011 482590
1584 2460 164036
533 3436 590452
1656 2969 661957
2843 2936 706134
1464 2656 424343
2599 3201 866882
936 1107 995466
2310 3659 201611
145 2665 676067
2027 2397 569264
1339 3610 472075
143 1728 99862
180 3111 457518
1953 2489 240453
623 960 318268
513 1318 317218
200 1448 70324
18 3757 629982
254 1630 668998
1697 3002 619024
340 3314 102634
2419 3741 234776
2598 3604 202238
1087 1122 236542
1927 2061 309853
547 3379 854365
1766 3930 883813
442 3948 111921
1929 2777 164174
3625 3775 383527
2800 3290 736219
1786 3383 902637
914 3338 473235
811 3152 142673
46 3089 617085
1899 3635 320815
265 1752 120745
430 2194 45044
351 970 778972
878 1096 514948
247 405 822238
976 2032 721972
3297 3614 281309
1201 2800 474119
226 2845 57207
1096 1311 865193
1360 2127 698945
2141 3224 145138
268 2491 866459
3240 3368 15554
125 2188 727801
778 1100 622184
1065 3102 933481
763 2265 380280
2490 2882 715477
153 441 732572
1987 2631 802283
932 1854 808423
2422 2473 862913
881 1712 162633
251 787 91109
940 1381 384560
482 3477 945625
958 1245 280241
478 1590 531083
1067 1271 315235
1991 3257 469865
274 540 632070
697 2961 330542
193 3963 860605
979 2596 220855
2057 2271 782587
1747 2617 751421
242 3056 408665
645 836 777494
2064 3919 398764
406 3506 170372
680 1723 274911
1376 1793 373871
687 1690 366415
285 1292 235394
2499 2693 257664
1087 1310 571762
508 1903 594817
1525 2738 739813
3008 3019 722228
2136 2513 274634
235 860 715665
2379 3772 337392
1995 3065 519082
411 708 939718
157 3207 690411
293 2173 672072
1152 1935 313974
1104 2676 929064
917 2046 48423
533 3498 470936
1393 2484 215522
1516 2149 914253
3541 3862 381317
272 2623 26377
780 2694 37583
1105 2952 230227
1177 1238 839378
2341 3503 306405
919 3610 408802
1343 3107 545335
631 1590 919079
90 505 804946
2758 3630 576807
428 2605 117431
1298 2805 662210
388 2754 985162
282 2615 174399
2345 3784 341092
750 1055 708701
1552 2749 32159
3239 3379 586100
2670 3883 86189
2641 3968 386170
776 3068 5126
1872 2559 882775
1121 2611 709528
1577 2283 190161
1035 3921 605945
670 2479 951351
2573 3180 242099
2164 3339 465477
833 1791 869711
1153 3980 852703
2280 2502 312122
838 3629 757993
1958 2404 776955
285 593 566531
1979 2446 482451
457 743 347472
446 3988 570397
2545 3678 696560
374 1468 677744
1447 2086 318896
300 2789 713175
2912 3928 494364
1257 2684 324674
2565 3320 705618
1096 2117 811596
3212 3900 16404
3657 3724 512391
2121 2202 848068
2927 3033 609535
778 1364 399333
26 153 603632
1554 3416 743912
270 1024 702947
944 3940 706618
1388 2562 428734
1287 2510 24297
1362 2914 411954
3483 3657 866507
2867 3725 853433
1612 3996 758797
22 1297 435301
1282 1927 195068
1546 2196 312443
845 3492 564383
2405 3463 33770
549 915 719408
180 847 485121
1153 3837 868603
3660 3913 115470
1093 1877 903465
3173 3890 67838
806 3543 838116
2351 2611 708664
3055 3195 4155
3009 3790 462911
1912 3558 380177
756 1672 288709
1908 2793 700897
1919 3749 464809
3011 3571 739037
3036 3253 406562
2795 3227 587367
1695 1758 541718
1164 2359 5264
1305 2866 168273
1778 3216 492182
887 1955 1289
31 2664 107548
3779 3913 677466
723 3349 564476
112 2737 560080
2315 2674 583227
9 2042 828984
112 2368 642499
1233 1376 71803
2001 3362 183370
1669 2183 696608
684 3472 96638
597 3020 768417
838 1319 860117
1667 1782 758853
456 1747 565167
1326 2849 633528
2662 2960 639895
687 1161 137479
1316 2688 72841
686 1222 342509
1046 1294 235192
417 1933 451788
1255 2702 973458
2921 3171 539240
1019 2025 72047
2345 3544 642895
1006 1424 826206
1319 2519 627244
2799 3834 214283
520 3992 79505
2165 2501 256902
449 1693 821318
1834 3502 482924
2673 3644 806196
1049 3236 351215
944 3283 733911
2368 2530 266916
1088 3686 625434
333 2836 397620
2827 2968 734139
1679 2825 880655
3724 3727 901104
1398 1557 596605
322 1200 827277
436 2519 868325
70 2086 801269
2600 3997 775988
39 3265 916025
371 1052 358861
2672 3691 210039
1163 2515 295718
1818 2242 367441
2922 3991 393349
312 3528 830548
3157 3182 767335
1619 3835 275757
1456 1615 482356
880 1444 762394
1469 2283 743117
682 954 155159
2116 2722 561673
2440 3933 735914
2233 3207 531904
3086 3582 432568
2482 2594 244101
2170 2428 317720
1927 3883 903686
635 1678 752565
3147 3381 38847
180 2850 160152
2009 2901 334267
1692 3683 474552
276 3949 482110
206 3857 437195
774 2339 199788
508 1227 154568
2786 2947 586450
2634 3420 820480
2800 3551 739978
1650 2751 220157
2903 3658 471058
1523 3340 821101
427 3641 121377
2537 3846 281585
84 971 615923
224 2197 440782
1496 2792 31919
129 1595 355338
31 2075 206138
2053 3133 360139
2036 2210 939796
1620 3910 539488
688 3074 895128
451 3576 571325
2036 3659 484295
2312 3882 394491
3026 3446 135986
620 3366 612466
2694 3056 92849
1098 1194 615981
1685 3659 858368
1279 1834 154277
352 1674 527316
802 1154 426891
479 3541 806549
774 2204 898783
2002 3617 341808
1719 3956 754779
774 774 441824
1623 2320 142921
4 1605 594579
1837 3973 784209
2603 3510 532912
663 1919 962065
1163 1493 385958
2266 3712 420513
2235 2847 506514
1007 2190 192232
2963 3786 833006
586 1610 667677
883 2542 23680
2514 3815 389869
24 1468 305730
937 3739 182745
901 3354 592237
964 1664 534855
2178 3811 405089
692 817 855278
955 1277 530592
2283 2916 7529
1960 3799 902070
1992 3613 588936
213 3988 738755
1276 2296 362493
982 1041 403393
1630 2645 184357
485 822 120519
1514 1574 553687
1204 2790 238641
149 1424 133557
30 3735 897707
2078 2453 125671
2643 3741 601658
938 2496 891286
990 1978 440267
735 3959 150911
444 1444 960085
1963 2369 341598
3651 3925 36739
73 2644 878514
454 553 534600
2260 2906 545029
2646 3931 299671
1494 1942 620608
1580 2835 206937
1847 3569 650896
1110 1365 487339
1195 3679 154059
3145 3681 989983
2325 3884 558407
2750 2877 866861
1489 1702 850118
1771 2732 580764
2403 3712 830257
1643 3364 961091
2301 3489 893011
599 1197 810375
888 1793 350054
938 2948 65734
931 1173 712410
275 3691 423639
1976 2904 97127
1022 1059 374897
1786 3814 374961
395 3177 988603
1477 1838 656092
2674 3202 561042
1929 3913 147186
2860 3983 272475
143 2070 973648
2832 3833 678274
2471 2736 404601
109 3598 697660
2247 2848 373473
1809 2641 52649
831 2412 458477
32 2856 725502
250 1960 857415
2295 3437 8274
716 3912 200768
1912 3547 476952
538 2370 220039
1140 1967 280148
1166 2800 754394
625 2974 989386
1626 1738 946216
103 945 550599
1195 1606 612911
983 3373 483205
894 3999 776272
768 3158 688170
1720 3695 642539
834 1760 252858
2260 3985 894023
654 961 940997
2392 2586 415086
609 2689 456030
646 3560 657576
18 471 650558
16 28 707452
300 1135 350961
471 3207 226655
1318 3010 771841
220 3577 167825
582 2244 820786
2973 3593 299723
2679 3933 546763
3061 3493 287408
638 3963 411777
3196 3991 928145
642 3000 37279
1112 1961 732485
474 969 233802
693 810 337730
635 3288 282311
1773 2880 573284
1497 1910 673216
260 971 132708
21 1960 81023
1155 3798 485013
295 507 670006
1575 2819 775118
2412 3787 991943
567 596 540635
1583 2297 864275
609 3707 871154
1203 1893 9064
1815 3461 734034
522 1835 736345
1545 1984 117499
2279 2910 650357
916 3853 653176
386 2616 385314
329 3182 102262
1317 1479 971844
1592 2087 847550
331 1098 29105
143 2162 546919
548 664 204753
893 2560 447088
1469 2745 169366
1454 2737 925218
2630 3122 996186
297 3803 583367
1471 2559 540845
2755 3062 667283
511 2305 19613
2673 3762 820108
2681 3572 168771
465 3786 179331
2875 3561 853151
241 1014 343887
1812 3996 459361
292 1998 675163
1365 3202 80985
1956 2563 508398
612 1846 344908
374 1812 599580
1920 3054 39152
3043 3192 399968
2066 2726 315880
2658 3878 920893
117 469 417240
2818 3478 673883
535 2993 793084
3097 3978 263039
376 1294 447651
1637 3105 376024
1217 1376 111429
721 771 858620
1041 3496 581037
921 3373 931695
2167 3842 352163
3671 3759 871333
1643 2664 39867
2993 3079 914963
2471 3721 196608
1357 2122 388065
2498 2925 309440
2279 3998 162210
1038 1252 642058
2289 2311 85782
477 1984 353623
235 2500 421294
1833 2229 480309
1308 1700 95301
1015 3778 807373
1975 2251 445081
1100 2040 608006
3730 3833 368003
981 2395 641392
453 3270 227702
1605 2236 80530
104 3859 100765
1153 2288 511345
339 1814 72652
1353 1468 596781
841 3680 531383
1719 2275 252482
1551 2281 904212
2636 3946 861544
28 750 189165
83 2985 818770
613 3196 135225
700 1378 493513
1076 2514 449851
2080 3981 435556
1173 2862 647235
2245 3447 989305
2079 3080 254856
714 3644 155153
1094 1540 332254
1176 2706 839239
1476 1788 578786
701 3518 939485
593 2214 917998
418 2672 642330
1885 3974 403503
482 3561 162949
866 3913 45028
74 3556 934093
1095 3579 955186
152 3834 368713
1627 3425 222501
2211 2680 166370
1245 1696 678962
47 1662 381985
1987 2377 355870
1547 2232 164703
1534 2765 544615
2838 2914 432522
1359 2769 689968
546 2602 506120
1611 2378 216098
112 588 438777
2482 2635 184022
1796 3033 418035
134 1762 60022
345 356 789920
1059 1878 80684
791 1674 219874
2150 2548 362642
516 3047 357595
1009 2636 43972
1121 3087 516911
1864 3954 715897
2102 2238 75282
274 2235 721043
648 2590 605739
2920 3648 859617
1673 3605 76759
220 3831 191260
1087 2473 674658
75 420 895667
744 3161 593139
1024 2007 933444
1904 3614 111897
239 1538 994131
886 2933 485072
673 3805 233071
290 3761 782743
1401 3591 599314
1014 2415 372753
3186 3672 92827
3691 3929 491987
830 1935 525362
191 2627 893327
1728 2524 497565
656 661 430802
1685 2080 966607
2326 3152 734719
2247 3726 438662
739 1914 441076
763 2667 132262
453 3494 72542
1635 3833 262477
261 1547 450667
2784 2875 228746
440 3791 317758
1871 3243 323442
1374 2202 138119
1273 3620 805845
1533 3935 66935
199 1012 79697
44 1626 772502
2168 3876 222136
997 1775 394748
16 649 885883
763 1440 206026
1034 2873 840248
2668 3587 21621
787 860 565592
794 2984 555125
1920 2157 395675
1969 3782 180071
2302 2823 400298
1311 3298 98072
59 3314 166720
428 2295 136512
321 3652 405545
921 2319 973132
2542 3106 90343
134 2089 163136
360 3611 665293
2681 3639 245426
1503 3710 976079
8 2814 119729
2081 3224 643394
1153 1870 775821
1665 2542 383824
3462 3563 758143
1047 2355 69600
2841 3390 124040
2451 2878 504752
171 2441 291432
1950 2150 289286
2029 2510 720451
590 2110 979675
1504 2094 501896
111 1677 460438
25 1502 211899
1071 3997 294254
812 1597 273094
1989 3689 219896
212 2741 530337
2161 2173 900838
541 3460 215347
263 3003 88288
506 3938 686382
1835 2183 178844
36 2625 454868
32 2524 3938
778 1980 949101
2224 3968 420789
2121 2709 117000
810 1233 799512
1044 1648 444405
996 1307 171407
1596 1636 140264
18 3782 610446
2406 2862 514833
930 2082 578864
2020 2059 904843
635 3473 133163
263 2755 735871
1615 3916 553455
1480 1563 842499
1885 2910 356157
546 1644 557752
915 1908 465534
707 3777 539939
1858 3540 509220
230 2757 151279
54 3952 771913
316 1115 591019
1338 2283 138934
2794 3762 832848
1293 1998 371758
1450 3641 360303
1900 3554 1217
1088 2606 473345
1380 2498 231555
1254 2600 796136
1205 2231 116189
2320 2496 128857
9 1515 951139
801 2802 415252
446 1650 449249
1760 2247 257241
1801 2415 979492
3240 3984 710098
619 1330 996595
1237 3571 934200
1725 1801 427756
297 1914 610427
2163 3123 734436
2262 2964 353237
965 1514 342035
2724 3115 24281
708 1138 990433
201 1121 189673
2651 2802 194643
390 3598 998213
1798 2114 268014
380 1554 808662
3502 3982 694824
1764 2418 98139
7 3629 335103
2042 3096 810178
2676 3803 883667
3 1461 556788
2653 3134 851941
2130 2250 484331
343 399 282796
709 2305 847175
1723 2286 822677
548 1055 676792
1413 3039 824772
2143 3807 715867
321 2834 123670
294 3989 544024
1129 3780 687029
1422 1909 65630
2105 2603 614029
902 3312 276333
429 1034 662970
1933 3458 508376
250 972 165788
1023 3466 9946
138 890 548779
478 912 289073
1289 1958 936852
318 3380 203112
1836 1948 569714
329 3089 337377
1014 3518 314763
2975 3984 196695
712 3577 114018
951 2853 401835
799 2192 353973
1579 3104 370450
744 3004 40760
208 1061 184139
3320 3360 350326
41 1386 789415
1054 2764 381284
1390 1527 948610
2101 2574 168186
945 953 381136
2104 2780 819680
753 3682 574783
3037 3556 255878
316 3244 938
807 2915 424649
300 3133 624689
900 3063 910095
941 2184 427484
2795 3515 717936
459 3333 947241
822 3590 125344
343 502 317377
250 3637 812413
565 3515 580008
805 1371 823274
855 1454 595573
1755 2496 266988
591 3938 152280
427 3084 931794
2417 2715 268604
1956 3590 48194
91 3652 140888
79 1029 917137
1794 3593 417701
749 2154 859423
1428 2202 76277
1049 1354 890383
694 1991 650321
974 2417 853756
769 1484 152524
1725 3791 444113
2271 3443 64555
823 3159 588633
648 2969 788577
1122 2701 665325
2124 2902 159879
607 2754 896927
1137 1300 819270
2273 3810 321686
1567 3393 187521
1470 2091 331312
2557 3740 911106
3112 3251 727928
98 3898 143248
675 2599 220722
1074 2353 783623
179 2232 460229
1668 3511 33880
1829 2781 624152
820 3395 195545
693 1838 533014
5 746 201105
3463 3857 824355
3744 3954 352605
981 2992 687203
3333 3714 236628
1916 3689 77159
270 1778 582826
911 2150 436654
2082 2303 492401
2200 2774 902590
3131 3566 111335
671 2593 183191
1379 2336 739497
1328 1984 52477
1393 1539 820161
1082 2519 202428
1351 3678 96205
2504 3853 837115
2507 3511 263196
706 3912 78322
623 2502 97452
1645 2189 264396
1732 3023 790732
1229 1358 852411
2058 3248 670155
1767 2571 511236
999 1796 384939
300 1205 325143
162 2672 439649
73 2221 956706
543 2926 409328
1114 2347 31324
2743 2845 614347
426 1827 60056
2590 2835 55656
746 1406 837774
334 2404 483569
1625 3960 92220
2632 3120 100381
852 2769 453
1746 3475 727730
444 1155 360843
480 3538 632040
1717 3179 280817
306 3587 359651
1403 3243 205056
1017 2089 535812
65 587 931771
807 3185 262754
1541 1953 791957
1780 2346 114054
2077 2934 326497
3272 3765 210035
2943 3312 588103
129 2530 280408
133 2124 506163
1541 3141 260251
79 1353 960315
1237 1477 931499
583 2777 129804
893 1123 995583
2947 3199 970868
1797 2470 570633
184 2134 441927
287 2614 644808
695 3098 234932
639 3210 566424
2343 3461 122854
129 171 480090
754 3980 254867
1646 1784 480341
944 1719 367891
940 2740 794712
2923 3573 909197
1852 3209 475811
256 2661 403260
1945 3465 863898
721 3278 942593
3575 3758 54763
3665 3737 495868
1873 2884 57865
3577 3943 854809
882 3468 729548
806 2181 408471
2658 3378 996031
1670 3541 256286
2802 3614 728103
686 3052 671732
260 1645 47489
276 409 819577
277 3512 117801
2143 3088 454096
1304 2908 282977
1088 2852 207783
817 3675 186792
710 3707 348461
345 3863 960426
448 2914 589111
532 911 357370
21 1671 777997
2299 3951 589508
441 2104 788596
200 2096 259503
948 3178 796942
974 3313 310110
680 2105 274819
1377 2918 127033
1824 3344 214299
807 2708 479209
2529 2728 492879
526 3030 751177
1134 2035 311970
1333 2631 30065
862 2486 151364
174 3428 84338
1538 2630 341369
710 1899 178745
95 1242 840921
2394 2400 999628
928 1603 218707
1454 2482 317737
2012 3840 447222
1982 2822 28554
399 1307 377416
1086 3764 217941
454 2623 220571
1823 3684 766469
921 3779 816063
1842 2172 474814
127 1822 583742
529 2960 953547
971 2618 173738
1840 3304 516559
2747 3703 757865
163 3818 210950
271 2456 185924
2093 3379 473960
1849 3013 685738
1206 2264 68261
1430 3027 100739
1172 3908 759699
2525 3071 312669
717 809 104325
1368 3463 132027
3585 3977 579844
2432 2535 48466
812 1811 846558
11 2772 701923
510 2626 939128
55 1123 590507
1579 1863 358414
649 1914 76938
1810 2935 709654
3260 3529 801468
3114 3639 213444
2000 3835 679876
301 2811 454038
1582 3212 786048
1135 2443 524673
615 3918 661079
2132 3474 262657
45 1888 315658
2979 3179 993819
1185 2239 297347
2229 2654 16812
450 2064 846812
326 2364 489622
1927 2364 935556
764 3413 353998
380 1789 845915
2869 3853 28398
1526 2093 628442
1271 1536 991421
2807 3355 738011
1055 1812 516591
1867 2262 390654
1031 2587 441370
1303 3006 515296
2418 2562 347061
207 912 359440
3075 3180 659292
952 3578 121384
21 2840 339006
2194 3794 21813
2157 3600 487624
1467 2748 466237
1755 2849 121176
1854 3125 422830
767 2773 157247
1679 1834 365453
1210 1626 224879
787 919 998183
1159 2655 1022
1304 1662 743567
3460 3827 523167
2560 3803 872985
314 2041 639833
3217 3790 829687
2047 2562 894453
748 3294 704483
1100 2373 105692
1979 3643 642831
162 2298 944341
311 1184 1645
137 1104 69104
271 3939 179663
1256 2331 240328
1089 1547 176117
3128 3945 535031
1934 3591 664130
1042 2417 922854
462 3020 970497
3534 3645 961146
1069 3986 717456
1631 2172 777592
2442 3088 661882
3103 3697 320213
1138 3432 390111
617 3549 294408
2550 2932 190350
1319 3062 443391
1917 2132 278410
766 1776 726295
1761 1912 755364
3368 3744 141887
1312 2831 376329
1933 3546 364377
111 1716 745866
1265 2575 350483
548 983 589032
3333 3610 198702
1878 2724 768833
1486 2643 458608
134 554 728721
273 3850 580816
1737 1936 567646
1833 2418 417930
1944 3148 855646
518 1014 573262
1500 3849 105809
1184 1234 633770
259 3936 563647
1122 2096 382289
82 2229 567194
803 2078 319466
167 1971 965753
1617 2584 651586
1731 3900 213529
3097 3546 74398
1160 2945 12249
530 2969 217432
466 740 166042
387 1939 620137
2020 3029 822366
2223 3175 560795
1145 2042 460961
3114 3795 415545
3013 3733 821627
1614 2910 425075
12 69 576372
261 3037 380901
128 2045 553718
87 867 863656
247 577 285676
2469 2943 64850
90 510 781994
657 1052 521107
389 949 216471
2355 2928 207380
4 2366 583448
376 2979 966837
1375 1629 991316
1462 3348 704182
2038 3004 520428
1032 1332 7249
1773 1882 484110
229 3176 916766
476 1688 989507
2160 3404 915861
1540 3759 286578
486 989 597556
178 2114 98931
1461 3494 956744
29 465 791133
809 1848 940816
58 3730 966588
310 521 362116
1639 1997 26591
156 3498 814346
2048 3359 634104
2290 3388 578589
198 3565 545055
3058 3481 54515
577 3438 3331
247 3710 677179
656 878 657260
1176 3819 725569
1935 2815 919565
878 2312 972073
2023 3225 574120
664 1681 825507
623 861 209423
694 1678 684480
545 1270 503918
1332 3877 704516
1408 2209 777171
2027 2668 722347
237 313 489513
154 1191 68176
227 767 374198
2699 2799 243213
558 3421 240074
1450 1981 12767
1995 2814 518036
2223 3084 63367
3600 3630 105928
1123 2649 612306
3237 3470 944619
1335 3390 162161
1512 3969 79279
62 3019 330077
3276 3577 525850
1557 3702 211651
469 722 441997
2857 3805 220219
2577 3756 256200
857 879 207200
348 1163 282436
2035 2134 434178
647 3546 634498
